"","main_text","bing_score","nrc_score","afinn_score","final_sentiment","congruence"
"841","U.S. Defense Secretary Makes Secret Visit to Afghanistan",NA,"positive",NA,"negative",NA
"842","U.S. Diplomats and Spies Battle Trump Administration Over Suspected Attacks","neutral","negative","negative","negative",NA
"843","U.S. Forces Were Training the Guinean Soldiers Who Took Off to Stage a Coup",NA,"neutral",NA,"negative",NA
"844","U.S. General Won’t Commit to Ending Airstrikes on Taliban",NA,NA,"positive","negative",NA
"845","U.S. Has 1,000 More Troops in Afghanistan Than It Disclosed",NA,"positive",NA,"negative",NA
"846","U.S. Hopes a Small Step in Easing a Mideast Rivalry Could Further Rattle Iran’s Economy","negative","negative","positive","negative",NA
"847","U.S. Is Sending 3,000 Troops Back to Afghanistan to Begin Evacuations",NA,NA,NA,"negative",NA
"848","U.S. Launches Strike on ISIS-K as Bombing’s Death Toll Soars","negative","negative","negative","negative",NA
"849","U.S. Leaves Behind Afghan Bases — and a Legacy of Land Disputes",NA,"positive","negative","negative",NA
"850","U.S. Leaves Its Last Afghan Base, Effectively Ending Operations","positive","positive","positive","negative",NA
"851","U.S. Looks to Build on Secret Portions of Taliban Deal to Reduce Violence",NA,"positive","negative","negative",NA
"852","U.S. Military Begins Final Withdrawal From Afghanistan",NA,"negative","negative","negative",NA
"853","U.S. Military Cutting Medevac Flights for Troops in West Africa",NA,"negative","negative","negative",NA
"854","U.S. Military Killed 132 Civilians in Wars Last Year, Pentagon Says","negative","negative","negative","negative",NA
"855","U.S. Pushes U.N.-Led Peace Conference in Letter to Afghan Leader","positive","positive","positive","negative",NA
"856","U.S. Reimposes U.N. Sanctions on Iran Over Objections of World Powers","negative",NA,NA,"negative",NA
"857","U.S. Says 1,500 Americans Remain in Afghanistan as Evacuation Enters Final Days",NA,"negative",NA,"negative",NA
"858","U.S. Says Most of China’s Claims in South China Sea Are Illegal","negative","negative","negative","negative",NA
"859","U.S. Seeks to Draw Down Its Troops in Afghanistan to 2,500 by Early 2021",NA,NA,NA,"negative",NA
"860","U.S. Sending More Troops to Syria to Counter the Russians",NA,NA,NA,"negative",NA
"861","U.S. Should Slow Withdrawal From Afghanistan, Bipartisan Panel Urges","negative",NA,"negative","negative",NA
"862","U.S. Strikes Taliban Targets in a Show of Force in Afghanistan",NA,"negative","negative","negative",NA
"863","U.S. Takes Tougher Tone With Turkey as Trump Exits","positive","positive",NA,"negative",NA
"864","U.S. to Announce Troop Drawdown From Iraq, but Little Is Expected to Change",NA,"neutral",NA,"negative",NA
"865","U.S. to Lift Pandemic Travel Restrictions, Easing Tension With Europe","neutral","negative","negative","negative",NA
"866","U.S. to Move Afghans Who Aided Troops Outside the Country",NA,NA,NA,"negative",NA
"867","U.S. to Penalize War Crimes Investigators Looking Into American Troops","negative","negative","negative","negative",NA
"868","U.S. to Reduce Troop Levels in Iraq to 3,000",NA,NA,NA,"negative",NA
"869","U.S. Troops Are Packing Up, Ready or Not","positive","positive",NA,"negative",NA
"870","U.S. Troops Are Still Deploying to Iraq, Even as Afghan War Ends",NA,"negative","negative","negative",NA
"871","U.S. Troops Are Still Leaving, but Afghans Hope Biden Will Help",NA,"positive","positive","negative",NA
"872","U.S. Urges Afghanistan to Stay the Course With Peace Deal as Violence Resurges","positive","positive","negative","negative",NA
"873","U.S. Used Missile With Long Blades to Kill Qaeda Leader in Syria","negative","negative","negative","negative",NA
"874","U.S. Veterans View Afghan Collapse With Anguish, Rage and Relief","negative","negative","negative","negative",NA
"875","U.S. War in Afghanistan Ends as Final Evacuation Flights Depart",NA,"negative","negative","negative",NA
"876","U.S. Weighs Possibility of Airstrikes if Afghan Forces Face Crisis","negative","neutral","negative","negative",NA
"877","U.S. Will Cut 12,000 Forces in Germany",NA,NA,"negative","negative",NA
"878","U.S. Wrestles With Taliban Sanctions as Afghan Crisis Looms","negative","negative","negative","negative",NA
"879","U.S.-Russia Military Tensions Intensify in the Air and on the Ground Worldwide",NA,"neutral",NA,"negative",NA
"880","U.S.-Russia Military Tensions Intensify in the Air and on the Ground Worldwide",NA,"neutral",NA,"negative",NA
"881","Uganda’s Leader of 35 Years Is Re-elected Amid Accusations of Vote-Rigging","negative","positive","negative","negative",NA
"882","Ukraine’s Leader, Meeting Biden, Seeks Security Assurances After Afghan Pullout","positive","positive",NA,"negative",NA
"883","Under Taliban Rule, Life in Kabul Transforms Once Again",NA,"neutral",NA,"negative",NA
"884","Unlikely Coalition of Veterans Backs Biden on Ending Afghan War",NA,"negative","negative","negative",NA
"885","Unvaccinated in Pakistan? You might lose your cellphone service.","negative","negative",NA,"negative",NA
"886","Veterans Fortify the Ranks of Militias Aligned With Trump’s Views",NA,"positive",NA,"negative",NA
"887","Veterans Struggle With Issues That Are Often Invisible to Others","negative","negative","negative","negative",NA
"888","Vietnam War Victims Wanted Justice. They Were Given ‘30 Bags of Rice.’",NA,"neutral","negative","negative",NA
"889","Vigilantes in Greece Say ‘No More’ to Migrants",NA,NA,NA,"negative",NA
"890","Vigilantes in Greece Say ‘No More’ to Migrants",NA,NA,NA,"negative",NA
"891","Violence in India Threatens Its Global Ambitions",NA,"negative","negative","negative",NA
"892","Violence May Delay U.S. Troop Withdrawal From Afghanistan","negative","negative","negative","negative",NA
"893","Virus Takes Center Stage as Pence and Harris Skirmish in Debate","negative","neutral",NA,"negative",NA
"894","Voters Chose Boring Over Bombast. They Got Biden’s Penchant for Pontificating.","negative","neutral","negative","negative",NA
"895","Votes, Deployment and Now Parenthood in the Middle of a Pandemic",NA,"negative",NA,"negative",NA
"896","Waiving Rent and Making Masks, Afghans Meet Coronavirus With Kindness","positive","positive",NA,"negative",NA
"897","Walter Mondale, Ex-Vice President and Champion of Liberal Politics, Dies at 93","negative","positive",NA,"negative",NA
"898","Want a Preview of President Biden? Look to the Campaign Trail",NA,"positive",NA,"negative",NA
"899","War Crime Risk Grows for U.S. Over Saudi Strikes in Yemen","negative","negative","negative","negative",NA
"900","War, Peace and Taliban Spreadsheets","positive","positive","neutral","negative",NA
"901","Washington Breathes an Uneasy Sigh of Relief","neutral","negative","negative","negative",NA
"902","Washington’s Daily Secret Machine",NA,"positive",NA,"negative",NA
"903","Weighing Haiti Intervention, U.S. Again Faces a Torturous Dilemma","negative","negative","negative","negative",NA
"904","Welcoming a New Year at an Ancient Festival in Pakistan",NA,"positive",NA,"negative",NA
"905","West Virginia, once a vaccination pacesetter, is struggling against the Delta variant.","negative",NA,"negative","negative",NA
"906","What Polls Say About Trump’s Impeachment and Possible Removal",NA,"negative",NA,"negative",NA
"907","What to Know About the Afghan Peace Talks","positive","positive","positive","negative",NA
"908","What Voters in a California Swing District Say About Afghanistan",NA,NA,NA,"negative",NA
"909","What we know about the 13 U.S. service members killed in the Kabul attack.","negative","negative","negative","negative",NA
"910","What Will Our New Normal Feel Like? Hints Are Beginning to Emerge",NA,NA,NA,"negative",NA
"911","When Armed Vigilantes Are Summoned With a Few Keystrokes",NA,"negative",NA,"negative",NA
"912","Where a Vaccination Campaign Faces Skepticism, War and Corruption","negative","negative","negative","negative",NA
"913","Where the Pomegranate Harvest Is Life, the Taliban Brought Ruin","negative","neutral","negative","negative",NA
"914","White House Dismisses Reports of Bounties, but Is Silent on Russia","positive",NA,NA,"negative",NA
"915","White House Pushes to Recover Americans Held Overseas","positive",NA,NA,"negative",NA
"916","White House Warns Russia on Bounties, but Stops Short of Sanctions",NA,NA,"negative","negative",NA
"917","Who Are the Taliban, and What Do They Want?",NA,NA,NA,"negative",NA
"918","Who Are the Taliban’s New Government Leaders? Here’s What We Know",NA,"negative",NA,"negative",NA
"919","Who Paid for That Mansion? A Senator or the Haitian People?",NA,NA,NA,"negative",NA
"920","Who Will Fill Biden’s Cabinet?",NA,"positive",NA,"negative",NA
"921","Why Afghanistan Became an Invisible War","negative","negative","negative","negative",NA
"922","Why Are India and the U.S. Sparring Over a $110 Million Mumbai Mansion?",NA,NA,NA,"negative",NA
"923","Why Biden’s Pick for Iran Envoy Is ‘a Proxy for Everything’",NA,"positive",NA,"negative",NA
"924","Why Europe’s Leaders Say They Won’t Welcome More Afghan Refugees",NA,NA,NA,"negative",NA
"925","Why Haiti Still Despairs After $13 Billion in Foreign Aid",NA,"neutral","negative","negative",NA
"926","Will Afghanistan Become a Terrorism Safe Haven Once Again?","neutral","neutral","positive","negative",NA
"927","Will Biden Be an Activist President on the World Stage?",NA,"positive",NA,"negative",NA
"928","Will Doug Emhoff’s Legal Career Be an Issue for the Biden-Harris Ticket?","negative","positive","positive","negative",NA
"929","Will the World Formally Recognize the Taliban?",NA,NA,NA,"negative",NA
"930","With Afghan Collapse, Moscow Takes Charge in Central Asia","negative","negative","negative","negative",NA
"931","With Afghan Decision, Biden Seeks to Focus U.S. on New Challenges",NA,"positive",NA,"negative",NA
"932","With Afghan Retreat, Biden Bucks Foreign Policy Elite","neutral","positive","negative","negative",NA
"933","With Delay in Afghan Peace Talks, a Creeping Sense of ‘Siege’ Around Kabul","negative","positive","positive","negative",NA
"934","With Putin, Biden Tries to Forge a Bond of Self-Interest, Not Souls",NA,"positive",NA,"negative",NA
"935","With Trump Presidency Winding Down, Push for Assange Pardon Ramps Up","positive","positive","positive","negative",NA
"936","Woman Killed in Capitol Embraced Trump and QAnon","neutral","positive","negative","negative",NA
