"","print_text","bing_score","nrc_score","afinn_score","final_sentiment","congruence"
"885","Ultimatum in Pakistan:  Vaccine or Cell Service",-1,-2,NA,"negative",TRUE
"886","Veterans Fortify the Ranks of Militias That Align With Trump’s Views",NA,1,NA,"positive",NA
"887","For Veterans, The Trauma Doesn’t End With Service",-1,NA,-3,"negative",TRUE
"888","Vietnam War Victims Say South Korea Still Owes Them Answers",NA,-2,-5,"negative",TRUE
"889","In Greek Shift, Vigilante Teams Target Migrants",NA,NA,NA,NA,NA
"890","In Greek Shift, Vigilante Teams Target Migrants",NA,NA,NA,NA,NA
"891","India’s Treatment of Muslims Threatens Its Global Ambitions",NA,NA,-2,"negative",NA
"892","Wave of Violence Across Afghanistan May Delay U.S. Troop Withdrawal",-1,-9,-7,"negative",TRUE
"893","In Clash on Virus, Harris Puts Pence on the Defensive",-3,-3,-2,"negative",TRUE
"894","Lost in Rhetorical Weeds, Biden Struggles to Inspire",-2,0,-3,"negative",FALSE
"895","Juggling Votes, Deployment and a Baby",NA,2,NA,"positive",NA
"896","In Yet Another Crisis, Afghans Waive Rent and Make Masks",-1,-1,-3,"negative",TRUE
"897","Walter Mondale, Former Vice President, Dies at 93",-2,1,NA,"negative",FALSE
"898","How Will Biden Lead? Look to His Campaign",1,1,NA,"positive",TRUE
"899","Saudi Strikes in Yemen Put U.S.  In Danger of War Crime Charges",-2,-7,-10,"negative",TRUE
"900","War, Peace and Spreadsheets In a Countdown to Withdrawal",1,3,-3,"positive",FALSE
"901","Transfer of Power Brings Respite To City Where a Mob Held Sway",1,0,NA,"positive",FALSE
"902","Classified, Until It’s Not",NA,NA,NA,NA,NA
"903","Weighing Haiti Intervention, U.S. Faces an All-Too-Familiar Dilemma",-1,1,-1,"negative",FALSE
"904","Welcoming a New Year at an Ancient Kalash Festival",NA,3,NA,"positive",NA
"905","West Virginia  Is Struggling Against Delta",-1,NA,-2,"negative",TRUE
"906","What the Polls Say About Impeachment",NA,-1,NA,"negative",NA
"907","Troubled Afghan-Taliban Peace Talks Set to Enter Next Phase",0,4,0,"positive",FALSE
"908","War and Virus Wear Down One Swing District’s Voters",-1,-3,-2,"negative",TRUE
"909","Heartbreak After Heroes Died Going ‘Through the Gates of Hell’ in Kabul",-2,-5,-5,"negative",TRUE
"910","Thrust Into Hardship, Humans Adapt and Cope in Remarkable Ways",0,3,0,"positive",FALSE
"911","When a Vigilante’s Call to Action Is Only a Facebook Post Away",NA,1,NA,"positive",NA
"912","Where a Vaccination Campaign Faces Skepticism, War and Corruption",-2,-4,-4,"negative",TRUE
"913","Taliban Attacks Ravage Pomegranate Country",-2,NA,-1,"negative",TRUE
"914","The White House Maintains Trump Knew Nothing of Russian Bounties",1,1,NA,"positive",TRUE
"915","White House Pushes for Return of Americans Being Held Hostage Overseas",-1,-3,NA,"negative",TRUE
"916","White House Stops Short of Sanctions Over Bounties",NA,NA,-1,"negative",NA
"917","Afghanistan’s Once and Current Rulers",NA,NA,NA,NA,NA
"918","Who Are New Leaders Appointed to Positions In the Taliban Cabinet?",NA,2,NA,"positive",NA
"919","Opulent Mansion in Canada Ignites Rage as Haiti Unravels",0,-2,-2,"negative",FALSE
"920","Who Are Contenders  For Biden’s Cabinet?",NA,2,NA,"positive",NA
"921","Why Afghanistan Became an Invisible War",-1,-2,-2,"negative",TRUE
"922","How a $110 Million Mansion in India Ended Up in a Diplomatic Dispute",0,0,-2,"negative",FALSE
"923","Biden’s Pick for Iran Envoy Resurrects Bitter Debate Over Nuclear Pact",-1,3,-2,"neutral",FALSE
"924","Memory of Migrant Crisis Haunts Europe as First Afghan Refugees Land",-1,0,-4,"negative",FALSE
"925","Why $13 Billion in Aid Didn’t Erase Troubles",-2,-1,-2,"negative",TRUE
"926","With Americans Gone, Will Afghanistan Return As a Haven for Terror?",-1,0,-3,"negative",FALSE
"927","Even With a To-Do List at Home, Biden Vows to Build Rapport Abroad",1,1,NA,"positive",TRUE
"928","Lawyer and Partner: A Look at Legal Work by Harris’s Husband",NA,-1,1,"neutral",FALSE
"929","The Taliban Must Overcome Big Obstacles to Obtain International Recognition",NA,NA,-2,"negative",NA
"930","With U.S. Exit, Russia’s Power in Central Asia Grows Ever Stronger",1,NA,2,"positive",TRUE
"931","Biden’s Decision Prioritizes Nation-Building at Home, Not in Kabul",NA,2,NA,"positive",NA
"932","In Pulling Troops Out,  A President Becomes An Unlikely Insurgent",NA,1,NA,"positive",NA
"933","Taliban Tighten ‘Ring of Siege’ Around Afghan Capital",-1,-1,NA,"negative",TRUE
"934","A Meeting of Cordial Words and Muted Tensions",NA,-2,NA,"negative",NA
"935","Supporters Push for Pardon for Assange as the President’s Term Comes to a Close",1,1,3,"positive",TRUE
"936","Woman Killed Storming Capitol Discovered Political Side After Time in Military",-1,-1,-3,"negative",TRUE
